entrezGeneId,hugoSymbol,name,oncogene,curatedIsoform,curatedRefSeq,geneAliases/0,tsg,geneAliases/1,geneAliases/2,geneAliases/3,geneAliases/4,geneAliases/5,geneAliases/6,geneAliases/7,geneAliases/8,geneAliases/9,geneAliases/10,geneAliases/11,geneAliases/12,geneAliases/13,geneAliases/14,geneAliases/15,geneAliases/16,geneAliases/17,geneAliases/18,geneAliases/19,geneAliases/20
8358,HIST1H3B,"histone cluster 1, H3b",False,ENST00000244661,NM_003537.3,H3FL,False,H3/l,,,,,,,,,,,,,,,,,,,
5288,PIK3C2G,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma,False,ENST00000266497,NM_004570.4,PI3K-C2GAMMA,False,PI3K-C2-gamma,,,,,,,,,,,,,,,,,,,
5289,PIK3C3,phosphatidylinositol 3-kinase catalytic subunit type 3,True,ENST00000262039,NM_002647.2,Vps34,False,hVps34,VPS34,,,,,,,,,,,,,,,,,,
5290,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",True,ENST00000263967,NM_006218.2,MCAP,False,p110-alpha,PI3K,CLOVE,MCM,PI3K-alpha,CWS5,MCMTC,,,,,,,,,,,,,
5291,PIK3CB,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",True,ENST00000289153,NM_006219.2,P110BETA,False,PI3K,PIK3C1,PI3KBETA,,,,,,,,,,,,,,,,,
257194,NEGR1,neuronal growth regulator 1,False,ENST00000357731,NM_173808.2,Ntra,False,DMML2433,IGLON4,KILON,,,,,,,,,,,,,,,,,
5292,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase",False,ENST00000373509,NM_002648.3,PIM,False,,,,,,,,,,,,,,,,,,,,
5293,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",True,ENST00000377346,NM_005026.3,APDS,False,PI3K,p110D,IMD14,P110DELTA,,,,,,,,,,,,,,,,
10413,YAP1,Yes associated protein 1,True,ENST00000282441,NM_001130145.2,YAP2,False,YAP65,COB1,YKI,YAP,,,,,,,,,,,,,,,,
84142,FAM175A,family with sequence similarity 175 member A,False,ENST00000321945,NM_139076.2,ABRA1,False,CCDC98,,,,,,,,,,,,,,,,,,,
5294,PIK3CG,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma",True,ENST00000359195,NM_002649.2,PI3K,False,PIK3,p120-PI3K,PI3CG,p110gamma,PI3Kgamma,,,,,,,,,,,,,,,
5295,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1,False,ENST00000274335,NM_181523.2,p85-ALPHA,True,GRB1,IMD36,p85,AGM7,,,,,,,,,,,,,,,,
5296,PIK3R2,phosphoinositide-3-kinase regulatory subunit 2,False,ENST00000222254,NM_005027.3,P85B,False,MPPH1,p85-BETA,p85,MPPH,,,,,,,,,,,,,,,,
57521,RPTOR,regulatory associated protein of MTOR complex 1,True,ENST00000306801,NM_020761.2,Mip1,False,KOG1,,,,,,,,,,,,,,,,,,,
9401,RECQL4,RecQ like helicase 4,False,ENST00000428558,ENST00000428558,RECQ4,False,,,,,,,,,,,,,,,,,,,,
4286,MITF,melanogenesis associated transcription factor,False,ENST00000352241,NM_198159.2,bHLHe32,False,WS2A,WS2,CMM8,MI,,,,,,,,,,,,,,,,
84159,ARID5B,AT-rich interaction domain 5B,False,ENST00000279873,NM_032199.2,MRF-2,True,MRF2,DESRT,,,,,,,,,,,,,,,,,,
3265,HRAS,"HRas proto-oncogene, GTPase",True,ENST00000311189,NM_001130442.1,C-H-RAS,False,HAMSV,p21ras,C-BAS/HAS,HRAS1,CTLO,H-RASIDX,C-HA-RAS1,RASH1,,,,,,,,,,,,
4292,MLH1,mutL homolog 1,False,ENST00000231790,NM_000249.3,HNPCC,True,HNPCC2,FCC2,COCA2,hMLH1,,,,,,,,,,,,,,,,
2248,FGF3,fibroblast growth factor 3,True,ENST00000334134,NM_005247.2,INT2,False,HBGF-3,,,,,,,,,,,,,,,,,,,
2249,FGF4,fibroblast growth factor 4,True,ENST00000168712,NM_002007.2,HBGF-4,False,HST-1,K-FGF,HST,HSTF1,KFGF,,,,,,,,,,,,,,,
4297,KMT2A,lysine methyltransferase 2A,False,ENST00000534358,NM_001197104.1,MLL-AF9,True,MLL1,TRX1,HTRX1,TET1-MLL,ALL-1,MLL/GAS7,MLL,MLL1A,CXXC7,HRX,WDSTS,,,,,,,,,
207,AKT1,AKT serine/threonine kinase 1,True,ENST00000349310,NM_001014431.1,PRKBA,False,RAC,PKB,CWS6,AKT,RAC-ALPHA,PKB-ALPHA,,,,,,,,,,,,,,
208,AKT2,AKT serine/threonine kinase 2,True,ENST00000392038,NM_001626.4,HIHGHH,False,PRKBB,PKBBETA,RAC-BETA,PKBB,,,,,,,,,,,,,,,,
2260,FGFR1,fibroblast growth factor receptor 1,True,ENST00000425967,NM_001174067.1,N-SAM,False,FLT2,ECCL,CEK,HBGFR,HRTFDS,BFGFR,FGFR-1,FLT-2,OGD,FGFBR,HH2,bFGF-R-1,CD331,KAL2,,,,,,
2261,FGFR3,fibroblast growth factor receptor 3,True,ENST00000260795,NM_000142.4,JTK4,False,HSFGFR3EX,ACH,CEK2,CD333,,,,,,,,,,,,,,,,
8405,SPOP,speckle type BTB/POZ protein,False,ENST00000347630,NM_001007228.1,TEF2,True,BTBD32,,,,,,,,,,,,,,,,,,,
2263,FGFR2,fibroblast growth factor receptor 2,True,ENST00000358487,NM_000141.4,BBDS,False,BFR-1,CEK3,JWS,BEK,K-SAM,KGFR,ECT1,TK14,TK25,CD332,CFD1,,,,,,,,,
2264,FGFR4,fibroblast growth factor receptor 4,True,ENST00000292408,NM_213647.1,JTK2,False,CD334,TKF,,,,,,,,,,,,,,,,,,
5336,PLCG2,phospholipase C gamma 2,False,ENST00000359376,NM_002661.3,PLC-IV,False,PLC-gamma-2,APLAID,FCAS3,,,,,,,,,,,,,,,,,
2271,FH,fumarate hydratase,False,ENST00000366560,NM_000143.3,HLRCC,True,LRCC,MCL,MCUL1,FMRD,,,,,,,,,,,,,,,,
7403,KDM6A,lysine demethylase 6A,False,ENST00000377967,NM_021140.2,UTX,True,bA386N14.2,KABUK2,,,,,,,,,,,,,,,,,,
238,ALK,anaplastic lymphoma receptor tyrosine kinase,True,ENST00000389048,NM_004304.4,NBLST3,False,CD246,,,,,,,,,,,,,,,,,,,
10481,HOXB13,homeobox B13,False,ENST00000290295,NM_006361.5,PSGD,False,,,,,,,,,,,,,,,,,,,,
242,ALOX12B,"arachidonate 12-lipoxygenase, 12R type",False,ENST00000319144,NM_001139.2,ARCI2,False,12R-LOX,,,,,,,,,,,,,,,,,,,
64754,SMYD3,SET and MYND domain containing 3,False,ENST00000388985,NM_001167740.1,KMT3E,False,bA74P14.1,ZNFN3A1,ZMYND1,,,,,,,,,,,,,,,,,
6389,SDHA,succinate dehydrogenase complex flavoprotein subunit A,False,ENST00000264932,NM_004168.2,PGL5,True,CMD1GG,SDHF,FP,SDH1,SDH2,,,,,,,,,,,,,,,
5366,PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1,False,ENST00000316660,NM_021127.2,APR,False,NOXA,,,,,,,,,,,,,,,,,,,
6390,SDHB,succinate dehydrogenase complex iron sulfur subunit B,False,ENST00000375499,NM_003000.2,SDH,True,IP,PGL4,CWS2,SDH1,SDH2,SDHIP,,,,,,,,,,,,,,
8438,RAD54L,RAD54-like (S. cerevisiae),False,ENST00000371975,NM_001142548.1,hRAD54,False,HR54,hHR54,RAD54A,,,,,,,,,,,,,,,,,
6391,SDHC,succinate dehydrogenase complex subunit C,False,ENST00000367975,NM_003001.3,CYB560,True,SDH3,PGL3,QPS1,CYBL,,,,,,,,,,,,,,,,
6392,SDHD,succinate dehydrogenase complex subunit D,False,ENST00000375549,NM_003002.3,CBT1,True,PGL,CII-4,PGL1,QPs3,cybS,CWS3,SDH4,,,,,,,,,,,,,
7422,VEGFA,vascular endothelial growth factor A,False,ENST00000523873,NM_001171623.1,MVCD1,False,VEGF,VPF,,,,,,,,,,,,,,,,,,
4352,MPL,"MPL proto-oncogene, thrombopoietin receptor",False,ENST00000372470,NM_005373.2,CD110,False,THCYT2,TPOR,MPLV,C-MPL,,,,,,,,,,,,,,,,
5378,PMS1,"PMS1 homolog 1, mismatch repair system component",False,ENST00000441310,NM_000534.4,PMSL1,False,HNPCC3,hPMS1,MLH2,,,,,,,,,,,,,,,,,
10498,CARM1,coactivator associated arginine methyltransferase 1,False,ENST00000327064,NM_199141.1,PRMT4,False,,,,,,,,,,,,,,,,,,,,
2308,FOXO1,forkhead box O1,False,ENST00000379561,NM_002015.3,FOXO1A,False,FKH1,FKHR,,,,,,,,,,,,,,,,,,
7428,VHL,von Hippel-Lindau tumor suppressor,False,ENST00000256474,NM_000551.3,HRCA1,True,pVHL,VHL1,,,,,,,,,,,,,,,,,,
8452,CUL3,cullin 3,False,ENST00000264414,NM_003590.4,PHA2E,False,CUL-3,,,,,,,,,,,,,,,,,,,
79109,MAPKAP1,mitogen-activated protein kinase associated protein 1,False,ENST00000265960,NM_001006617.1,MIP1,False,SIN1b,JC310,SIN1g,SIN1,,,,,,,,,,,,,,,,
84231,TRAF7,TNF receptor associated factor 7,False,ENST00000326181,NM_032271.2,RFWD1,False,RNF119,,,,,,,,,,,,,,,,,,,
3337,DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,False,ENST00000254322,NM_006145.1,Hdj1,False,Sis1,HSPF1,Hsp40,RSPH16B,,,,,,,,,,,,,,,,
4361,MRE11A,"MRE11 homolog A, double strand break repair nuclease",False,ENST00000323929,NM_005591.3,HNGS1,False,ATLD,MRE11B,,,,,,,,,,,,,,,,,,
6416,MAP2K4,mitogen-activated protein kinase kinase 4,False,ENST00000353533,NM_003010.3,MKK4,True,SAPKK1,SERK1,MEK4,JNKK,MAPKK4,PRKMK4,SKK1,JNKK1,SAPKK-1,SEK1,,,,,,,,,,
22800,RRAS2,related RAS viral (r-ras) oncogene homolog 2,True,ENST00000256196,NM_012250.5,TC21,False,,,,,,,,,,,,,,,,,,,,
2321,FLT1,fms related tyrosine kinase 1,True,ENST00000282397,NM_002019.4,VEGFR1,False,VEGFR-1,FLT-1,FLT,,,,,,,,,,,,,,,,,
2322,FLT3,fms related tyrosine kinase 3,True,ENST00000241453,NM_004119.2,STK1,False,FLK-2,CD135,FLK2,,,,,,,,,,,,,,,,,
5395,PMS2,"PMS1 homolog 2, mismatch repair system component",False,ENST00000265849,NM_000535.5,HNPCC4,False,PMSL2,MLH4,,,,,,,,,,,,,,,,,,
2324,FLT4,fms related tyrosine kinase 4,True,ENST00000261937,NM_182925.4,VEGFR3,False,FLT41,VEGFR-3,PCL,FLT-4,LMPH1A,,,,,,,,,,,,,,,
6427,SRSF2,serine and arginine rich splicing factor 2,False,ENST00000359995,NM_003016.4,SFRS2A,False,PR264,SC35,SFRS2,SRp30b,SC-35,,,,,,,,,,,,,,,
653604,HIST2H3D,"histone cluster 2, H3d",False,ENST00000331491,NM_001123375.2,,False,,,,,,,,,,,,,,,,,,,,
7468,WHSC1,Wolf-Hirschhorn syndrome candidate 1,False,ENST00000382891,NM_001042424.2,MMSET,False,WHS,TRX5,REIIBP,,,,,,,,,,,,,,,,,
8493,PPM1D,"protein phosphatase, Mg2+/Mn2+ dependent 1D",True,ENST00000305921,NM_003620.3,PP2C-DELTA,False,WIP1,,,,,,,,,,,,,,,,,,,
5424,POLD1,"polymerase (DNA) delta 1, catalytic subunit",False,ENST00000440232,NM_002691.3,POLD,True,MDPL,CRCS10,CDC2,,,,,,,,,,,,,,,,,
5426,POLE,"polymerase (DNA) epsilon, catalytic subunit",False,ENST00000320574,NM_006231.2,POLE1,True,CRCS12,FILS,,,,,,,,,,,,,,,,,,
90417,KNSTRN,kinetochore localized astrin/SPAG5 binding protein,False,ENST00000249776,NM_033286.3,SKAP,False,HSD11,TRAF4AF1,C15orf23,,,,,,,,,,,,,,,,,
8503,PIK3R3,phosphoinositide-3-kinase regulatory subunit 3,False,ENST00000262741,NM_003629.3,p55-GAMMA,True,p55PIK,p55,,,,,,,,,,,,,,,,,,
7490,WT1,Wilms tumor 1,False,ENST00000332351,NM_024426.4,EWS-WT1,False,WT33,GUD,NPHS4,WIT-2,AWT1,WAGR,,,,,,,,,,,,,,
324,APC,"APC, WNT signaling pathway regulator",False,ENST00000257430,NM_000038.5,BTPS2,True,DP3,PPP1R46,DP2,GS,DP2.5,,,,,,,,,,,,,,,
3399,ID3,"inhibitor of DNA binding 3, HLH protein",False,ENST00000374561,NM_002167.4,HEIR-1,False,bHLHb25,,,,,,,,,,,,,,,,,,,
143686,SESN3,sestrin 3,False,ENST00000536441,NM_144665.3,SEST3,False,,,,,,,,,,,,,,,,,,,,
253260,RICTOR,RPTOR independent companion of MTOR complex 2,True,ENST00000357387,NM_152756.3,AVO3,False,PIA,hAVO3,,,,,,,,,,,,,,,,,,
330,BIRC3,baculoviral IAP repeat containing 3,False,ENST00000263464,NM_182962.2,MIHC,False,HAIP1,API2,AIP1,RNF49,c-IAP2,HIAP1,MALT2,CIAP2,,,,,,,,,,,,
331,XIAP,X-linked inhibitor of apoptosis,False,ENST00000355640,NM_001167.3,MIHA,False,ILP1,API3,BIRC4,hIAP3,IAP-3,hIAP-3,XLP2,,,,,,,,,,,,,
25937,WWTR1,WW domain containing transcription regulator 1,False,ENST00000360632,NM_001168280.1,,False,,,,,,,,,,,,,,,,,,,,
4436,MSH2,mutS homolog 2,False,ENST00000233146,NM_000251.2,LCFS2,True,HNPCC,COCA1,HNPCC1,FCC1,,,,,,,,,,,,,,,,
4437,MSH3,mutS homolog 3,False,ENST00000265081,NM_002439.4,MRP1,False,DUP,,,,,,,,,,,,,,,,,,,
4440,MSI1,musashi RNA binding protein 1,False,ENST00000257552,NM_002442.3,,False,,,,,,,,,,,,,,,,,,,,
3417,IDH1,"isocitrate dehydrogenase (NADP(+)) 1, cytosolic",True,ENST00000345146,NM_005896.2,IDP,False,HEL-216,IDH,IDPC,IDCD,HEL-S-26,PICD,,,,,,,,,,,,,,
3418,IDH2,"isocitrate dehydrogenase (NADP(+)) 2, mitochondrial",True,ENST00000330062,NM_002168.2,IDHM,False,IDP,D2HGA2,mNADP-IDH,IDPM,IDH,ICD-M,,,,,,,,,,,,,,
7514,XPO1,exportin 1,False,ENST00000401558,NM_003400.3,emb,False,exp1,CRM1,,,,,,,,,,,,,,,,,,
5468,PPARG,peroxisome proliferator activated receptor gamma,False,ENST00000287820,NM_015869.4,PPARG1,False,PPARG2,CIMT1,GLM1,PPARgamma,NR1C3,,,,,,,,,,,,,,,
7516,XRCC2,X-ray repair cross complementing 2,False,ENST00000359321,NM_005431.1,FANCU,True,,,,,,,,,,,,,,,,,,,,
7525,YES1,"YES proto-oncogene 1, Src family tyrosine kinase",False,ENST00000314574,NM_005433.3,HsT441,False,c-yes,P61-YES,Yes,,,,,,,,,,,,,,,,,
55654,TMEM127,transmembrane protein 127,False,ENST00000258439,NM_001193304.2,,False,,,,,,,,,,,,,,,,,,,,
1387,CREBBP,CREB binding protein,False,ENST00000262367,NM_004380.2,CBP,True,KAT3A,RSTS,,,,,,,,,,,,,,,,,,
22894,DIS3,"DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease",False,ENST00000377767,NM_014953.3,KIAA1008,False,EXOSC11,2810028N01Rik,dis3p,RRP44,,,,,,,,,,,,,,,,
367,AR,androgen receptor,True,ENST00000374690,NM_000044.3,NR3C4,False,DHTR,HYSP1,SBMA,SMAX1,AR8,KD,TFM,AIS,HUMARA,,,,,,,,,,,
369,ARAF,"A-Raf proto-oncogene, serine/threonine kinase",True,ENST00000377045,NM_001654.4,ARAF1,False,A-RAF,RAFA1,PKS2,,,,,,,,,,,,,,,,,
80243,PREX2,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2",False,ENST00000288368,NM_024870.2,PPP1R129,False,DEP.2,P-REX2,DEPDC2,,,,,,,,,,,,,,,,,
1399,CRKL,"CRK like proto-oncogene, adaptor protein",True,ENST00000354336,NM_005207.3,,False,,,,,,,,,,,,,,,,,,,,
387,RHOA,ras homolog family member A,True,ENST00000418115,NM_001664.2,ARH12,False,ARHA,RHOH12,RHO12,,,,,,,,,,,,,,,,,
3459,IFNGR1,interferon gamma receptor 1,False,ENST00000367739,NM_000416.2,IMD27A,False,IMD27B,CD119,IFNGR,,,,,,,,,,,,,,,,,
4485,MST1,macrophage stimulating 1,False,ENST00000449682,NM_020998.3,NF15S2,False,HGFL,D3F15S2,MSP,DNF15S2,,,,,,,,,,,,,,,,
4486,MST1R,macrophage stimulating 1 receptor,False,ENST00000296474,NM_002447.2,RON,False,PTK8,CDw136,CD136,,,,,,,,,,,,,,,,,
9611,NCOR1,nuclear receptor corepressor 1,False,ENST00000268712,NM_006311.3,TRAC1,True,PPP1R109,N-CoR,hN-CoR,N-CoR1,,,,,,,,,,,,,,,,
5518,PPP2R1A,protein phosphatase 2 scaffold subunit Aalpha,False,ENST00000322088,NM_014225.5,MRD36,False,PP2AAALPHA,PP2A-Aalpha,PR65A,,,,,,,,,,,,,,,,,
29072,SETD2,SET domain containing 2,False,ENST00000409792,NM_014159.6,HIF-1,True,HYPB,LLS,p231HBP,KMT3A,SET2,HIP-1,HSPC069,HBP231,,,,,,,,,,,,
3479,IGF1,insulin like growth factor 1,True,ENST00000307046,NM_001111285.1,IGF-I,False,IGFI,MGF,,,,,,,,,,,,,,,,,,
3480,IGF1R,insulin like growth factor 1 receptor,True,ENST00000268035,NM_000875.3,IGFIR,False,IGFR,JTK13,CD221,,,,,,,,,,,,,,,,,
3481,IGF2,insulin like growth factor 2,True,ENST00000434045,NM_001127598.1,C11orf43,False,PP9974,GRDF,IGF-II,,,,,,,,,,,,,,,,,
1436,CSF1R,colony stimulating factor 1 receptor,False,ENST00000286301,NM_005211.3,HDLS,False,CSFR,C-FMS,FIM2,CD115,M-CSF-R,FMS,CSF-1R,,,,,,,,,,,,,
29086,BABAM1,BRISC and BRCA1 A complex member 1,False,ENST00000359435,NM_001033549.1,NBA1,False,C19orf62,MERIT40,HSPC142,,,,,,,,,,,,,,,,,
1441,CSF3R,colony stimulating factor 3 receptor,False,ENST00000361632,NM_000760.3,GCSFR,False,CD114,,,,,,,,,,,,,,,,,,,
5537,PPP6C,protein phosphatase 6 catalytic subunit,True,ENST00000373547,NM_002721.4,PP6,False,PP6C,,,,,,,,,,,,,,,,,,,
10664,CTCF,CCCTC-binding factor,False,ENST00000264010,NM_006565.3,MRD21,True,,,,,,,,,,,,,,,,,,,,
9641,IKBKE,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon",False,ENST00000367120,NM_014002.3,IKK-i,False,IKKI,IKK-E,IKKE,,,,,,,,,,,,,,,,,
2475,MTOR,mechanistic target of rapamycin,True,ENST00000361445,NM_004958.3,FRAP1,False,RAFT1,FRAP2,FRAP,SKS,RAPT1,,,,,,,,,,,,,,,
29102,DROSHA,drosha ribonuclease III,False,ENST00000344624,NM_013235.4,RNASEN,False,RANSE3L,ETOHI2,HSA242976,RNASE3L,RN3,,,,,,,,,,,,,,,
151987,PPP4R2,protein phosphatase 4 regulatory subunit 2,False,ENST00000356692,NM_174907.2,PP4R2,False,,,,,,,,,,,,,,,,,,,,
8626,TP63,tumor protein p63,False,ENST00000264731,NM_003722.4,OFC8,False,AIS,SHFM4,p63,B(p51B),p40,p51,B(p51A),p73H,EEC3,TP53CP,TP73L,LMS,p73L,TP53L,p53CP,KET,RHS,NBP,,
80312,TET1,tet methylcytosine dioxygenase 1,False,ENST00000373644,NM_030625.2,LCX,False,TET1-MLL,MLL-TET1,CXXC6,bA119F7.1,,,,,,,,,,,,,,,,
9656,MDC1,mediator of DNA damage checkpoint 1,False,ENST00000376406,NM_014641.2,NFBD1,False,,,,,,,,,,,,,,,,,,,,
29123,ANKRD11,ankyrin repeat domain 11,False,ENST00000301030,NM_013275.5,ANCO1,False,LZ16,T13,ANCO-1,,,,,,,,,,,,,,,,,
5573,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,False,ENST00000358598,NM_212471.2,ADOHR,False,CAR,CNC1,CNC,TSE1,PRKAR1,ACRDYS1,PKR1,PPNAD1,,,,,,,,,,,,
6597,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",False,ENST00000344626,NM_003072.3,SNF2LB,True,SNF2,SNF2L4,BAF190,BRG1,BAF190A,MRD16,RTPS2,SWI2,hSNF2b,CSS4,,,,,,,,,,
6598,SMARCB1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1",False,ENST00000263121,NM_003073.3,MRD15,True,hSNFS,SNF5L1,Sfh1p,RTPS1,SWNTS1,BAF47,PPP1R144,SNF5,Snr1,CSS3,INI1,,,,,,,,,
29126,CD274,CD274 molecule,False,ENST00000381577,NM_014143.3,B7H1,False,PD-L1,PDCD1L1,PDCD1LG1,PDL1,B7-H,,,,,,,,,,,,,,,
6602,SMARCD1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1",False,ENST00000394963,NM_003076.4,BAF60A,False,Rsc6p,CRACD1,,,,,,,,,,,,,,,,,,
201163,FLCN,folliculin,False,ENST00000285071,NM_144997.5,BHD,False,FLCL,,,,,,,,,,,,,,,,,,,
8651,SOCS1,suppressor of cytokine signaling 1,False,ENST00000332029,NM_003745.1,CISH1,False,SSI-1,JAB,CIS1,SOCS-1,SSI1,TIP3,,,,,,,,,,,,,,
27086,FOXP1,forkhead box P1,False,ENST00000318789,NM_001244814.1,HSPC215,False,12CC4,hFKH1B,QRF1,MFH,,,,,,,,,,,,,,,,
463,ZFHX3,zinc finger homeobox 3,False,ENST00000268489,NM_006885.3,ATBF1,False,ZNF927,ATBT,,,,,,,,,,,,,,,,,,
5584,PRKCI,protein kinase C iota,True,ENST00000295797,NM_002740.5,DXS1179E,False,PKCI,nPKC-iota,,,,,,,,,,,,,,,,,,
6608,SMO,"smoothened, frizzled class receptor",True,ENST00000249373,NM_005631.4,Gx,False,FZD11,SMOH,,,,,,,,,,,,,,,,,,
84433,CARD11,caspase recruitment domain family member 11,False,ENST00000396946,NM_032415.4,CARMA1,False,IMD11,BENTA,BIMP3,PPBL,,,,,,,,,,,,,,,,
5587,PRKD1,protein kinase D1,False,ENST00000331968,NM_002742.2,PKCM,False,PKD,PKC-MU,PRKCM,,,,,,,,,,,,,,,,,
100271849,MEF2B,myocyte enhancer factor 2B,True,ENST00000162023,NM_001145785.1,RSRFR2,False,,,,,,,,,,,,,,,,,,,,
8660,IRS2,insulin receptor substrate 2,True,ENST00000375856,NM_003749.2,IRS-2,False,,,,,,,,,,,,,,,,,,,,
1493,CTLA4,cytotoxic T-lymphocyte associated protein 4,True,ENST00000302823,NM_005214.4,ALPS5,False,CD,CD152,CELIAC3,IDDM12,GSE,CTLA-4,GRD4,,,,,,,,,,,,,
472,ATM,ATM serine/threonine kinase,False,ENST00000278616,NM_000051.3,ATC,True,TEL1,ATE,ATDC,TELO1,AT1,ATA,,,,,,,,,,,,,,
9688,NUP93,nucleoporin 93,False,ENST00000308159,NM_014669.4,NIC96,False,NPHS12,,,,,,,,,,,,,,,,,,,
5594,MAPK1,mitogen-activated protein kinase 1,True,ENST00000215832,NM_002745.4,PRKM1,False,PRKM2,p41mapk,ERT1,p41,p40,P42MAPK,ERK-2,ERK2,p38,p42-MAPK,MAPK2,ERK,,,,,,,,
1499,CTNNB1,catenin beta 1,True,ENST00000349496,NM_001904.3,MRD19,False,CTNNB,armadillo,,,,,,,,,,,,,,,,,,
5595,MAPK3,mitogen-activated protein kinase 3,False,ENST00000263025,NM_002746.2,ERK-1,False,P44MAPK,PRKM3,ERK1,HUMKER1A,HS44KDAP,P44ERK1,ERT2,p44-MAPK,p44-ERK1,,,,,,,,,,,
84444,DOT1L,DOT1 like histone lysine methyltransferase,False,ENST00000398665,NM_032482.2,KMT4,False,DOT1,,,,,,,,,,,,,,,,,,,
5604,MAP2K1,mitogen-activated protein kinase kinase 1,True,ENST00000307102,NM_002755.3,MKK1,False,PRKMK1,MEK1,MAPKK1,CFC3,,,,,,,,,,,,,,,,
51684,SUFU,SUFU negative regulator of hedgehog signaling,False,ENST00000369902,NM_016169.3,SUFUXL,False,PRO1280,SUFUH,,,,,,,,,,,,,,,,,,
5605,MAP2K2,mitogen-activated protein kinase kinase 2,False,ENST00000262948,NM_030662.3,MKK2,False,PRKMK2,MAPKK2,CFC4,MEK2,,,,,,,,,,,,,,,,
23013,SPEN,spen family transcriptional repressor,False,ENST00000375759,NM_015001.2,HIAA0929,True,RBM15C,MINT,SHARP,,,,,,,,,,,,,,,,,
2534,FYN,"FYN proto-oncogene, Src family tyrosine kinase",False,ENST00000368678,NM_153047.3,p59-FYN,False,SYN,,,,,,,,,,,,,,,,,,,
27113,BBC3,BCL2 binding component 3,False,ENST00000449228,NM_001127240.2,JFY-1,False,JFY1,PUMA,,,,,,,,,,,,,,,,,,
63978,PRDM14,PR domain 14,False,ENST00000276594,NM_024504.3,PFM11,False,,,,,,,,,,,,,,,,,,,,
10735,STAG2,stromal antigen 2,False,ENST00000218089,NM_001042749.1,SCC3B,True,bA517O1.1,SA-2,SA2,,,,,,,,,,,,,,,,,
84464,SLX4,SLX4 structure-specific endonuclease subunit,False,ENST00000294008,NM_032444.2,MUS312,False,FANCP,BTBD12,,,,,,,,,,,,,,,,,,
4595,MUTYH,mutY DNA glycosylase,False,ENST00000372115,NM_001048171.1,MYH,False,,,,,,,,,,,,,,,,,,,,
3575,IL7R,interleukin 7 receptor,False,ENST00000303115,NM_002185.3,ILRA,False,IL-7R-alpha,CD127,CDW127,IL7RA,,,,,,,,,,,,,,,,
80380,PDCD1LG2,programmed cell death 1 ligand 2,False,ENST00000397747,NM_025239.3,CD273,False,bA574F11.2,PD-L2,PDCD1L2,B7DC,Btdc,PDL2,,,,,,,,,,,,,,
6654,SOS1,SOS Ras/Rac guanine nucleotide exchange factor 1,False,ENST00000402219,NM_005633.3,GINGF,False,GF1,GGF1,NS4,,,,,,,,,,,,,,,,,
80381,CD276,CD276 molecule,False,ENST00000318443,NM_001024736.1,B7RP-2,False,B7-H3,4Ig-B7-H3,B7H3,,,,,,,,,,,,,,,,,
4609,MYC,v-myc avian myelocytomatosis viral oncogene homolog,True,ENST00000377970,NM_002467.4,c-Myc,False,MYCC,MRTL,bHLHe39,,,,,,,,,,,,,,,,,
6657,SOX2,SRY-box 2,False,ENST00000325404,NM_003106.3,ANOP3,False,MCOPS3,,,,,,,,,,,,,,,,,,,
3586,IL10,interleukin 10,False,ENST00000423557,NM_000572.2,CSIF,False,TGIF,GVHDS,IL10A,IL-10,,,,,,,,,,,,,,,,
4610,MYCL,v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog,False,ENST00000397332,NM_001033082.2,L-Myc,False,LMYC,bHLHe38,MYCL1,,,,,,,,,,,,,,,,,
1540,CYLD,CYLD lysine 63 deubiquitinase,False,ENST00000398568,NM_001042355.1,CYLDI,False,MFT1,SBS,EAC,CDMT,CYLD1,MFT,USPL2,TEM,BRSS,,,,,,,,,,,
4613,MYCN,v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog,True,ENST00000281043,NM_005378.4,ODED,False,MODED,bHLHe37,N-myc,NMYC,,,,,,,,,,,,,,,,
6662,SOX9,SRY-box 9,False,ENST00000245479,NM_000346.3,SRXY10,False,CMPD1,CMD1,SRXX2,,,,,,,,,,,,,,,,,
54790,TET2,tet methylcytosine dioxygenase 2,False,ENST00000380013,NM_001127208.2,KIAA1546,True,MDS,,,,,,,,,,,,,,,,,,,
